project,BBB,BB,OB,C_BBB,C_BB,C_OB
eclipse,0.021146347630517814,0.07234206779074565,0.9065115845787366,0.019327030033370413,0.07311695534721119,0.9075560146194184
freedesktop,0.012326808342783886,0.08470982693161087,0.9029633647256052,0.011216792390947852,0.1061331584125943,0.8826500491964578
mozilla,0.32096486967783716,0.3454751497490691,0.3335599805730937,0.278430288793699,0.3748790935470499,0.3466906176592511
netbeans,0.018294758339006126,0.044030330534755316,0.9376749111262386,0.019859738603761556,0.04276378705769844,0.93737647433854
openoffice,0.016939550167129343,0.10112741487734406,0.8819330349555266,0.022458628841607566,0.18321513002364065,0.7943262411347518
