ID,Bug ID,Blocking Bug ID,Blocked Bug ID,Reason,Measure
263,Mozilla,812083,843104,R3,M1
264,Mozilla,812083,834273,R3,M1
265,Mozilla,1042135,1060852,R3,M1
266,Mozilla,1042135,1071747,R1,M2
267,Mozilla,1042135,1087529,R1,M2
268,Eclipse,446442,417801,R1,M1
269,Eclipse,492337,492238,R1,M2
270,Eclipse,498533,499029,R2,M1
271,Eclipse,88887,89489,R3,M2
272,Eclipse,384216,340542,R2,M2
273,Eclipse,518592,518594,R4,M3
274,Eclipse,399786,462952,R4,M1
275,Eclipse,487044,490554,R2,M1
276,Eclipse,325161,325624,R4,M3
277,Eclipse,327576,326000,R2,M2
278,Eclipse,437444,432605,R3,M2
279,Eclipse,52382,51668,R2,M2
280,Eclipse,507271,597272,R1,M1
281,Eclipse,516469,511050,R4,M3
282,Eclipse,2575,2310,R1,M2
283,Eclipse,473904,474544,R1,M2
284,Eclipse,186153,182469,R1,M2
285,Eclipse,351103,351095,R2,M3
286,Eclipse,14282,15679,R1,M2
287,Eclipse,11108,10925,R3,M3
288,Eclipse,15398,15681,R4,M3
289,Eclipse,394172,396249,R1,M3
290,Eclipse,407982,408358,R4,M3
291,Eclipse,316937,151500,R1,M2
292,Eclipse,331485,342512,R3,M1
293,Eclipse,283186,283185,R2,M1
294,Eclipse,168429,124615,R1,M1
295,Eclipse,499717,482433,R3,M3
296,Eclipse,39205,39600,R2,M2
297,Eclipse,51884,75280,R3,M2
298,Netbeans,81878,63824,R1,M3
299,Netbeans,22922,22944,R1,M1
300,Netbeans,106914,103187,R1,M2
301,Netbeans,101257,94936,R2,M1
302,Netbeans,180970,178260,R4,M3
303,Netbeans,87251,73474,R1,M2
304,Openoffice,121388,121721,R1,M2
305,Netbeans,95534,96567,R3,M1
306,Netbeans,210554,118772,R1,M2
307,Netbeans,136146,133129,R1,M1
308,Openoffice,1940,4490,R4,M2
309,Openoffice,18798,19473,R1,M2
310,Netbeans,99653,89627,R2,M2
311,Netbeans,221794,221800,R2,M1
312,Netbeans,165257,165634,R3,M1
313,Netbeans,229276,204221,R3,M2
314,Netbeans,57926,51545,R2,M2
315,Netbeans,157790,105645,R2,M2
316,Netbeans,141221,139656,R1,M3
317,Netbeans,160945,159614,R1,M1
318,Netbeans,170728,110333,R1,M1
319,Openoffice,66722,66757,R1,M1
320,Openoffice,32198,32187,R3,M3
321,Openoffice,6815,10562,R4,M2
322,Netbeans,60966,58882,R2,M1
323,Netbeans,168578,44319,R1,M3
324,Netbeans,37141,37199,R1,M1
325,Netbeans,182507,179473,R1,M2
326,Netbeans,214205,217577,R3,M1
327,Netbeans,97872,111954,R1,M2
328,Netbeans,208794,110686,R4,M3
329,Netbeans,197581,193252,R1,M3
330,Netbeans,114896,119792,R1,M1
331,Netbeans,97474,49026,R2,M1
332,Openoffice,22191,20317,R1,M1
333,Netbeans,157328,137437,R2,M3
334,Netbeans,199320,156330,R2,M2
335,Netbeans,214011,213562,R2,M2
336,Freedesktop,23646,23640,R2,M2
337,Freedesktop,7512,8888,R3,M1
338,Freedesktop,90543,90033,R4,M1
339,Freedesktop,474,351,R3,M1
340,Freedesktop,27143,29044,R2,M1
341,Freedesktop,5392,8888,R1,M2
342,Freedesktop,781,777,R1,M1
343,Freedesktop,1182,351,R2,M1
344,Freedesktop,28244,28536,R1,M2
345,Freedesktop,36928,38826,R1,M3
346,Freedesktop,28782,76828,R1,M1
347,Freedesktop,69703,69604,R1,M1
348,Freedesktop,24209,24212,R3,M1
349,Freedesktop,26866,30296,R1,M1
350,Freedesktop,31729,41357,R2,M1
351,Freedesktop,34976,38346,R4,M3
352,Freedesktop,97357,98192,R3,M1
353,Freedesktop,12247,12043,R3,M1
354,Freedesktop,383,218,R2,M2
355,Freedesktop,8592,8670,R4,M3
356,Freedesktop,10801,15091,R1,M1
357,Eclipse,536265,536259,R2,M3
358,Eclipse,517856,490601,R1,M2
359,Eclipse,500110,490601,R1,M2
360,Freedesktop,8670,12524,R3,M2
361,Eclipse,355890,367164,R2,M1
